Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1773,"1773.41210","Mycobacterium tuberculosis 706991","linezolid","Susceptible","0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
28901,"28901.24474","Salmonella enterica B349_2019","trimethoprim/sulfamethoxazole","Susceptible","<0.25/4.75","<","0.25/4.75","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
1773,"1773.40773","Mycobacterium tuberculosis 632752","bedaquiline","Susceptible","<=0.015","<=","0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40741","Mycobacterium tuberculosis 633418","delamanid","Susceptible","0.03",,"0.03","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.43725","Mycobacterium tuberculosis 733627","kanamycin","Susceptible","<=1","<=","1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
487,"487.4651","Neisseria meningitidis NIID750","ciprofloxacin","Susceptible","0.003",,"0.003","mg/L","MIC",,,"BioMerieux","CLSI",2020,,,,"Laboratory Method",,"37874301"
1773,"1773.41318","Mycobacterium tuberculosis 711543","isoniazid","Resistant","1.6",,"1.6","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41914","Mycobacterium tuberculosis 725362","amikacin","Susceptible","<=0.25","<=","0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
28901,"28901.24379","Salmonella enterica A009_2016","gentamicin","Susceptible","<1","<","1","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
1773,"1773.41803","Mycobacterium tuberculosis 721360","rifabutin","Susceptible","<=0.06","<=","0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42577","Mycobacterium tuberculosis 804487","levofloxacin","Susceptible","<=0.125","<=","0.125","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41877","Mycobacterium tuberculosis 724773","rifampin","Resistant",">4",">","4","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41768","Mycobacterium tuberculosis 720374","moxifloxacin","Resistant",">4",">","4","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
